Player,Team,Pos,Opp,GameTime,Cmp_Att,PsYds,PsTD,Int,RsAtt,RsYds,RsTD,Rec,RcYds,RcTD,1_39,40_49,50plus,KTot,XP,TT,Sck,FumF,FumR,Int,IntTD,FumTD,FFPts
Jared Goff,LAR,QB,Hou,W 33-7,19.4/31.8,256.0,1.6,0.6,1.7,4.9,0.1,0.0,0.0,0.0,,,,,,,,,,0.6,,,15.8
Josh McCown,NYJ,QB,@TB,L 10-15,19.9/31.8,230.9,1.7,0.8,3.1,13.4,0.2,0.0,0.0,0.0,,,,,,,,,,0.8,,,15.7
Drew Brees,NOR,QB,@Buf,W 47-10,26.1/38.7,275.6,1.5,0.9,1.4,1.6,0.1,0.0,0.0,0.0,,,,,,,,,,0.9,,,15.7
Kirk Cousins,WAS,QB,Min,L 30-38,23.6/36.2,277.3,1.5,0.8,2.0,4.3,0.1,0.0,0.0,0.0,,,,,,,,,,0.8,,,15.4
Marcus Mariota,TEN,QB,Cin,W 24-20,18.9/30.6,222.0,1.2,0.7,4.3,20.6,0.1,0.0,0.0,0.0,,,,,,,,,,0.7,,,15.0
Brock Osweiler,DEN,QB,NE,L 16-41,23.9/39.3,267.4,1.4,1.2,2.3,7.3,0.1,0.0,0.0,0.0,,,,,,,,,,1.2,,,14.0
Jacoby Brissett,IND,QB,Pit,L 17-20,20.1/32.6,226.5,0.9,0.5,3.9,18.6,0.2,0.0,0.0,0.0,,,,,,,,,,0.5,,,13.8
Drew Stanton,ARI,QB,Sea,L 16-22,22.7/38.5,260.9,1.2,1.2,3.1,7.6,0.1,0.0,0.0,0.0,,,,,,,,,,1.2,,,13.8
Case Keenum,MIN,QB,@Wsh,W 38-30,22.1/34.5,229.1,1.3,0.8,2.0,6.2,0.1,0.0,0.0,0.0,,,,,,,,,,0.8,,,13.7
C.J. Beathard,SFO,QB,NYG,W 31-21,20.9/35.8,230.2,1.2,1.0,3.3,13.5,0.1,0.0,0.0,0.0,,,,,,,,,,1.0,,,13.6
DeShone Kizer,CLE,QB,@Det,L 24-38,20.4/35,224.0,1.0,1.7,5.7,30.9,0.2,0.0,0.0,0.0,,,,,,,,,,1.7,,,13.4
Blake Bortles,JAC,QB,LAC,W 20-17,16.8/27.8,186.2,1.1,0.6,3.8,22.5,0.1,0.0,0.0,0.0,,,,,,,,,,0.6,,,13.2
Philip Rivers,LAC,QB,@Jax,L 17-20,22.7/36.1,245.7,1.2,1.2,1.3,3.4,0.0,0.0,0.0,0.0,,,,,,,,,,1.2,,,12.5
Mitchell Trubisky,CHI,QB,GB,L 16-23,15.6/25.7,186.1,1.2,0.5,2.9,13.6,0.1,0.0,0.0,0.0,,,,,,,,,,0.5,,,12.4
Jay Cutler,MIA,QB,@Car,L 21-45,21/32.7,224.0,1.2,0.9,2.1,8.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.9,,,12.4
Tom Savage,HOU,QB,@LAR,L 7-33,20.2/34.5,208.7,1.3,1.0,1.7,5.3,0.0,0.0,0.0,0.0,,,,,,,,,,1.0,,,10.8
Brett Hundley,GNB,QB,@Chi,W 23-16,20.5/33.8,202.8,0.9,1.2,3.4,13.5,0.1,0.0,0.0,0.0,,,,,,,,,,1.2,,,10.5
Jake Rudock,DET,QB,Cle,W 38-24,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Cooper Rush,DAL,QB,@Atl,L 7-27,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Landry Jones,PIT,QB,@Ind,W 20-17,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Austin Davis,SEA,QB,@Ari,W 22-16,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Ryan Griffin,TAM,QB,NYJ,W 15-10,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Brian Hoyer,NWE,QB,@Den,W 41-16,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Schaub,ATL,QB,Dal,W 27-7,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Bryce Petty,NYJ,QB,@TB,L 10-15,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Sean Mannion,LAR,QB,Hou,W 33-7,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Teddy Bridgewater,MIN,QB,@Wsh,W 38-30,0.1/0.2,1.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Geno Smith,NYG,QB,@SF,L 21-31,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Nathan Peterman,BUF,QB,NO,L 10-47,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Mike Glennon,CHI,QB,GB,L 16-23,0.1/0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
AJ McCarron,CIN,QB,@Ten,L 20-24,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jimmy Garoppolo,SFO,QB,NYG,W 31-21,0.1/0.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Derek Anderson,CAR,QB,Mia,W 45-21,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Paxton Lynch,DEN,QB,NE,L 16-41,0.1/0.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Blaine Gabbert,ARI,QB,Sea,L 16-22,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
T.J. Yates,HOU,QB,@LAR,L 7-33,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Chase Daniel,NOR,QB,@Buf,W 47-10,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Chad Henne,JAC,QB,LAC,W 20-17,0.1/0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Moore,MIA,QB,@Car,L 21-45,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Cassel,TEN,QB,Cin,W 24-20,0.1/0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Joe Callahan,GNB,QB,@Chi,W 23-16,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Colt McCoy,WAS,QB,Min,L 30-38,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Scott Tolzien,IND,QB,Pit,L 17-20,0.1/0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Cody Kessler,CLE,QB,@Det,L 24-38,0.1/0.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Kellen Clemens,LAC,QB,@Jax,L 17-20,0.1/0.2,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Mike Vick,PIT,QB,@Ind,W 20-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Shaun Hill,MIN,QB,@Wsh,W 38-30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Carson Palmer,ARI,QB,Sea,L 16-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Tony Romo,DAL,QB,@Atl,L 7-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Luke McCown,DAL,QB,@Atl,L 7-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Alex Smith,KAN,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Aaron Rodgers,GNB,QB,@Chi,W 23-16,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Dan Orlovsky,LAR,QB,Hou,W 33-7,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Tarvaris Jackson,SEA,QB,@Ari,W 22-16,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Charlie Whitehurst,CLE,QB,@Det,L 24-38,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Bruce Gradkowski,PIT,QB,@Ind,W 20-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Joe Flacco,BAL,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Josh Johnson,HOU,QB,@LAR,L 7-33,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Flynn,NOR,QB,@Buf,W 47-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Josh Freeman,IND,QB,Pit,L 17-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Mark Sanchez,CHI,QB,GB,L 16-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Sam Bradford,MIN,QB,@Wsh,W 38-30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jimmy Clausen,BAL,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Dan LeFevour,TAM,QB,NYJ,W 15-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Joe Webb,BUF,QB,NO,L 10-47,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Thaddeus Lewis,BAL,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Christian Ponder,SFO,QB,NYG,W 31-21,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Colin Kaepernick,SFO,QB,NYG,W 31-21,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Ryan Mallett,BAL,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Jerrod Johnson,DAL,QB,@Atl,L 7-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Andrew Luck,IND,QB,Pit,L 17-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Robert Griffin III,CLE,QB,@Det,L 24-38,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Ryan Tannehill,MIA,QB,@Car,L 21-45,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Nick Foles,PHI,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Brandon Weeden,TEN,QB,Cin,W 24-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Kellen Moore,DAL,QB,@Atl,L 7-27,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Ryan Lindley,IND,QB,Pit,L 17-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Simms,ATL,QB,Dal,W 27-7,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Alex Tanney,TEN,QB,Cin,W 24-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
EJ Manuel,OAK,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Ryan Nassib,JAC,QB,LAC,W 20-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Sean Renfree,ATL,QB,Dal,W 27-7,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Zac Dysert,ARI,QB,Sea,L 16-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Matt Barkley,ARI,QB,Sea,L 16-22,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Tyler Bray,KAN,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Matt McGloin,HOU,QB,@LAR,L 7-33,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Johnny Manziel,CLE,QB,@Det,L 24-38,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Derek Carr,OAK,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Tajh Boyd,PIT,QB,@Ind,W 20-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Zach Mettenberger,PIT,QB,@Ind,W 20-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
David Fales,MIA,QB,@Car,L 21-45,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Keith Wenning,BUF,QB,NO,L 10-47,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Aaron Murray,KAN,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Matt Blanchard,CHI,QB,GB,L 16-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Dustin Vaughan,BAL,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Connor Shaw,CHI,QB,GB,L 16-23,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jameis Winston,TAM,QB,NYJ,W 15-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Trevor Siemian,DEN,QB,NE,L 16-41,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Dylan Thompson,LAR,QB,Hou,W 33-7,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Garrett Grayson,NOR,QB,@Buf,W 47-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Carson Wentz,PHI,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Christian Hackenberg,NYJ,QB,@TB,L 10-15,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Connor Cook,OAK,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Cardale Jones,LAC,QB,@Jax,L 17-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Kevin Hogan,CLE,QB,@Det,L 24-38,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Nate Sudfeld,PHI,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Brandon Allen,LAR,QB,Hou,W 33-7,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Jeff Driskel,CIN,QB,@Ten,L 20-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Brandon Doughty,MIA,QB,@Car,L 21-45,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Trevone Boykin,SEA,QB,@Ari,W 22-16,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Taylor Heinicke,MIN,QB,@Wsh,W 38-30,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Stephen Morris,IND,QB,Pit,L 17-20,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Brad Kaaya,DET,QB,Cle,W 38-24,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Chad Kelly,DEN,QB,NE,L 16-41,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Patrick Mahomes,KAN,QB,** BYE **,0/0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,
Joshua Dobbs,PIT,QB,@Ind,W 20-17,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Deshaun Watson,HOU,QB,@LAR,L 7-33,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Davis Webb,NYG,QB,@SF,L 21-31,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Taysom Hill,NOR,QB,@Buf,W 47-10,0/0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,,,0.0
Le'Veon Bell,PIT,RB,@Ind,W 20-17,0/0,0.0,0.0,0.0,21.0,89.1,0.8,4.7,39.9,0.2,,,,,,,,,,0.0,,,18.8
Leonard Fournette,JAC,RB,LAC,W 20-17,0/0,0.0,0.0,0.0,22.0,100.9,0.7,2.4,19.9,0.1,,,,,,,,,,0.0,,,16.7
Todd Gurley II,LAR,RB,Hou,W 33-7,0/0,0.0,0.0,0.0,20.3,84.7,0.9,3.0,29.1,0.1,,,,,,,,,,0.0,,,16.2
LeSean McCoy,BUF,RB,NO,L 10-47,0/0,0.0,0.0,0.0,18.3,85.3,0.4,5.2,38.6,0.2,,,,,,,,,,0.0,,,15.8
Carlos Hyde,SFO,RB,NYG,W 31-21,0/0,0.0,0.0,0.0,17.2,75.0,0.6,3.9,27.3,0.1,,,,,,,,,,0.0,,,14.2
Jordan Howard,CHI,RB,GB,L 16-23,0/0,0.0,0.0,0.0,20.6,89.7,0.5,1.2,10.9,0.1,,,,,,,,,,0.0,,,13.5
Mark Ingram,NOR,RB,@Buf,W 47-10,0/0,0.0,0.0,0.0,15.5,67.4,0.5,4.1,27.0,0.2,,,,,,,,,,0.0,,,13.0
Devonta Freeman,ATL,RB,Dal,W 27-7,0/0,0.0,0.0,0.0,13.8,61.8,0.6,3.0,25.4,0.1,,,,,,,,,,0.0,,,12.9
Bilal Powell,NYJ,RB,@TB,L 10-15,0/0,0.0,0.0,0.0,13.7,60.3,0.4,3.3,25.9,0.2,,,,,,,,,,0.0,,,12.1
Melvin Gordon,LAC,RB,@Jax,L 17-20,0/0,0.0,0.0,0.0,15.3,66.2,0.3,4.0,29.6,0.1,,,,,,,,,,0.0,,,11.9
Adrian Peterson,ARI,RB,Sea,L 16-22,0/0,0.0,0.0,0.0,17.4,76.1,0.5,1.3,10.0,0.0,,,,,,,,,,0.0,,,11.3
Lamar Miller,HOU,RB,@LAR,L 7-33,0/0,0.0,0.0,0.0,15.4,64.8,0.4,2.6,17.9,0.1,,,,,,,,,,0.0,,,11.2
Christian McCaffrey,CAR,RB,Mia,W 45-21,0/0,0.0,0.0,0.0,9.0,34.2,0.2,5.2,47.9,0.3,,,,,,,,,,0.0,,,11.2
Doug Martin,TAM,RB,NYJ,W 15-10,0/0,0.0,0.0,0.0,15.6,67.8,0.4,1.2,9.8,0.0,,,,,,,,,,0.0,,,10.3
DeMarco Murray,TEN,RB,Cin,W 24-20,0/0,0.0,0.0,0.0,13.4,56.2,0.4,2.4,16.9,0.1,,,,,,,,,,0.0,,,10.2
Alvin Kamara,NOR,RB,@Buf,W 47-10,0/0,0.0,0.0,0.0,8.3,35.3,0.3,5.0,41.0,0.2,,,,,,,,,,0.0,,,10.2
Joe Mixon,CIN,RB,@Ten,L 20-24,0/0,0.0,0.0,0.0,14.5,53.5,0.3,2.8,22.4,0.1,,,,,,,,,,0.0,,,9.7
Jerick McKinnon,MIN,RB,@Wsh,W 38-30,0/0,0.0,0.0,0.0,12.3,51.7,0.3,3.5,23.9,0.1,,,,,,,,,,0.0,,,9.6
Orleans Darkwa,NYG,RB,@SF,L 21-31,0/0,0.0,0.0,0.0,14.5,60.7,0.3,1.7,13.2,0.1,,,,,,,,,,0.0,,,9.5
Frank Gore,IND,RB,Pit,L 17-20,0/0,0.0,0.0,0.0,13.1,55.7,0.4,1.8,14.2,0.0,,,,,,,,,,0.0,,,9.4
Ameer Abdullah,DET,RB,Cle,W 38-24,0/0,0.0,0.0,0.0,16.4,59.9,0.3,1.5,12.4,0.1,,,,,,,,,,0.0,,,9.3
Isaiah Crowell,CLE,RB,@Det,L 24-38,0/0,0.0,0.0,0.0,13.5,53.5,0.3,2.0,16.3,0.1,,,,,,,,,,0.0,,,9.1
Alfred Morris,DAL,RB,@Atl,L 7-27,0/0,0.0,0.0,0.0,12.6,54.8,0.5,1.0,7.4,0.0,,,,,,,,,,0.0,,,9.0
Thomas Rawls,SEA,RB,@Ari,W 22-16,0/0,0.0,0.0,0.0,13.9,58.2,0.3,1.3,10.6,0.1,,,,,,,,,,0.0,,,8.7
Latavius Murray,MIN,RB,@Wsh,W 38-30,0/0,0.0,0.0,0.0,13.1,52.7,0.5,1.0,7.4,0.0,,,,,,,,,,0.0,,,8.7
Rob Kelley,WAS,RB,Min,L 30-38,0/0,0.0,0.0,0.0,14.0,53.6,0.4,1.0,8.1,0.0,,,,,,,,,,0.0,,,8.4
Jonathan Stewart,CAR,RB,Mia,W 45-21,0/0,0.0,0.0,0.0,13.4,52.6,0.3,1.1,9.3,0.0,,,,,,,,,,0.0,,,8.1
Chris Thompson,WAS,RB,Min,L 30-38,0/0,0.0,0.0,0.0,6.5,29.2,0.1,4.2,36.0,0.1,,,,,,,,,,0.0,,,7.9
Elijah McGuire,NYJ,RB,@TB,L 10-15,0/0,0.0,0.0,0.0,8.9,36.2,0.3,2.3,20.3,0.1,,,,,,,,,,0.0,,,7.9
Derrick Henry,TEN,RB,Cin,W 24-20,0/0,0.0,0.0,0.0,11.9,49.7,0.4,0.7,6.0,0.0,,,,,,,,,,0.0,,,7.7
Tevin Coleman,ATL,RB,Dal,W 27-7,0/0,0.0,0.0,0.0,8.0,35.7,0.3,1.8,16.8,0.1,,,,,,,,,,0.0,,,7.6
